gene	conMean	treatMean	logFC	pValue	fdr
HOTAIRM1	0.83041351421875	2.8116929838121	1.75953724378724	3.79680187580375e-10	5.66279109037559e-09
AL445250.1	0.06394928596875	0.289646851245223	2.17929482576399	0.000292719719205843	0.000811782804056113
AC112721.2	0.01854863671875	0.339109886576433	4.19236778486048	9.32921965141766e-14	4.36117695545274e-12
MUC12-AS1	0.38506867446875	1.15236905764968	1.58141515916434	4.24708017255087e-10	6.18354648932109e-09
PRKAG2-AS1	1.12048283771875	0.428420209321656	-1.38702211023209	7.47827171463286e-09	7.14525492734061e-08
AL122125.1	0.10476981603125	0.273062912869427	1.38201024275833	2.31546765989086e-05	8.6335882562394e-05
FLNB-AS1	0.11995802421875	0.260619385993631	1.1194147363204	3.1025327573706e-05	0.00011326559887356
LINC02163	0.00918149759375	0.342274163229299	5.22027909276129	4.68794360626508e-09	4.77779585871849e-08
MSC-AS1	0.37319374171875	1.38900092217516	1.89605085894632	1.34605768773043e-09	1.78937886097208e-08
AC126773.3	0.04342974515625	0.226811030041401	2.38473540939076	3.23342500426751e-06	1.64086256440629e-05
TMPO-AS1	0.30373956	0.997199686050955	1.71504760672147	3.70801852784979e-13	1.3742141392607e-11
AP002807.1	0.2060671783125	0.672210952949045	1.70579931443136	2.1452366023635e-08	1.88749954294285e-07
AC016394.1	0.33831422428125	0.90098893343949	1.41314555006154	3.42424944031273e-08	2.9082340732656e-07
LINC01546	0.095526014	0.25281440593949	1.40411310204584	9.87593531143309e-05	0.000312099971211438
AC132192.2	0.1817115400625	0.580616116328025	1.67593457324954	1.19829060048359e-07	9.04635434809525e-07
TTLL11-IT1	0.0310303926875	0.643957986563694	4.37521270706053	4.8009355958694e-15	3.26196901874904e-13
NRIR	0.0373003051875	0.300584304302548	3.01051033796421	1.39743478561733e-10	2.62932729663076e-09
LINC01311	0.1530751918125	0.429853387012739	1.48960418312939	3.55163682909221e-07	2.373580241519e-06
Z97653.1	0.7857881323125	0.176560698436306	-2.15397613733364	7.80125371901777e-10	1.07201497734368e-08
AC245884.8	0.11126288828125	0.230507516923567	1.05084133595296	7.45768282340083e-05	0.000242719648449998
HOXC-AS2	0.02005972640625	0.350937061468153	4.12883848037797	5.27552931481909e-19	4.72490605042737e-16
CASC15	0.1391753735	0.379721880044586	1.44803917630721	6.85633285190954e-07	4.09038784287091e-06
LINC01943	0.15607930203125	0.529420676245223	1.7621353081202	3.38739574532406e-12	9.20618888118072e-11
TBILA	0.15889432109375	0.579475332410828	1.86667968521702	4.2430654776336e-09	4.43527271721871e-08
SOCAR	0.0871511986875	0.247014925047771	1.5030058018574	1.37639457206079e-09	1.81003286196811e-08
NKILA	0.25693107121875	1.1971150008758	2.22010847739664	5.62326963225346e-11	1.14620979337433e-09
AL109614.1	0.1999674429375	0.411250549843949	1.04025247641951	0.000558767862902795	0.00145089829369452
Z82243.1	0.1899859346875	0.592320044547771	1.64048429399331	4.01128105682996e-09	4.26591020217656e-08
AC124276.1	0.0550267703125	0.223573607143312	2.02254432800113	1.72089408200164e-05	6.81117625335924e-05
AC008708.1	0.02766846928125	0.221557256538217	3.00136484314896	0.0184597263528435	0.0312690378525313
AC092718.3	3.98433594203125	9.27017769481847	1.21825769896384	5.12041813007264e-12	1.27801456593446e-10
